experiment,dataset,model_family,model_size,strategy_id,strategy_name,response_format,overall_accuracy,match_accuracy,no_match_accuracy,avg_response_time,throughput,missed_matches,wrong_matches,false_positives,sample_size
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S11,text_minimal,text,0.579,0.300,0.892,2.772,32.28,438,49,67,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S18,text_smart_categ,text,0.578,0.343,0.841,2.778,33.22,360,97,99,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S05,number_strict,number,0.576,0.253,0.939,3.651,24.62,423,97,38,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S15,text_semantic,text,0.573,0.547,0.601,2.721,34.44,213,102,248,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S20,text_validation,text,0.569,0.520,0.625,2.666,35.09,193,141,233,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S12,text_simple,text,0.554,0.231,0.916,2.840,32.93,495,40,52,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S19,text_point_game,text,0.545,0.272,0.852,2.845,32.25,455,52,92,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S13,text_detailed,text,0.541,0.237,0.882,2.724,34.56,489,42,73,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S14,text_ruler_fewshot,text,0.532,0.157,0.952,2.626,35.92,571,16,30,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S16,text_strict,text,0.525,0.168,0.926,2.572,36.33,566,13,46,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S17,text_contextual,text,0.509,0.542,0.472,2.698,34.80,160,159,328,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S08,number_smart_categ,number,0.453,0.315,0.607,3.701,24.97,219,258,244,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S09,number_point_game,number,0.444,0.211,0.705,3.660,25.34,418,131,183,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S10,number_validation,number,0.318,0.408,0.217,3.614,25.05,44,368,486,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S01,number_minimal,number,0.311,0.355,0.262,3.628,25.67,40,409,458,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S07,number_contextual,number,0.259,0.483,0.008,3.712,24.55,0,360,616,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S02,number_simple,number,0.238,0.405,0.052,3.556,25.84,7,407,589,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S06,number_semantic,number,0.232,0.375,0.072,3.582,25.96,28,407,576,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S03,number_detailed,number,0.211,0.333,0.074,3.600,24.87,10,454,575,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S04,number_ruler_fewshot,number,0.194,0.243,0.138,3.726,24.28,28,499,535,1317
