experiment,strategy,strategy_id,format,overall_acc,match_acc,no_match_acc,avg_time,throughput,missed_matches,wrong_matches,false_positives
NHANES_Gemma3_12b,text_minimal,S11,text,0.579,0.300,0.892,2.772,32.28,438,49,67
NHANES_Gemma3_12b,text_smart_categ,S18,text,0.578,0.343,0.841,2.778,33.22,360,97,99
NHANES_Gemma3_12b,number_strict,S05,number,0.576,0.253,0.939,3.651,24.62,423,97,38
NHANES_Gemma3_12b,text_semantic,S15,text,0.573,0.547,0.601,2.721,34.44,213,102,248
NHANES_Gemma3_12b,text_validation,S20,text,0.569,0.520,0.625,2.666,35.09,193,141,233
NHANES_Gemma3_12b,text_simple,S12,text,0.554,0.231,0.916,2.840,32.93,495,40,52
NHANES_Gemma3_12b,text_point_game,S19,text,0.545,0.272,0.852,2.845,32.25,455,52,92
NHANES_Gemma3_12b,text_detailed,S13,text,0.541,0.237,0.882,2.724,34.56,489,42,73
NHANES_Gemma3_12b,text_ruler_fewshot,S14,text,0.532,0.157,0.952,2.626,35.92,571,16,30
NHANES_Gemma3_12b,text_strict,S16,text,0.525,0.168,0.926,2.572,36.33,566,13,46
NHANES_Gemma3_12b,text_contextual,S17,text,0.509,0.542,0.472,2.698,34.80,160,159,328
NHANES_Gemma3_12b,number_smart_categ,S08,number,0.453,0.315,0.607,3.701,24.97,219,258,244
NHANES_Gemma3_12b,number_point_game,S09,number,0.444,0.211,0.705,3.660,25.34,418,131,183
NHANES_Gemma3_12b,number_validation,S10,number,0.318,0.408,0.217,3.614,25.05,44,368,486
NHANES_Gemma3_12b,number_minimal,S01,number,0.311,0.355,0.262,3.628,25.67,40,409,458
NHANES_Gemma3_12b,number_contextual,S07,number,0.259,0.483,0.008,3.712,24.55,0,360,616
NHANES_Gemma3_12b,number_simple,S02,number,0.238,0.405,0.052,3.556,25.84,7,407,589
NHANES_Gemma3_12b,number_semantic,S06,number,0.232,0.375,0.072,3.582,25.96,28,407,576
NHANES_Gemma3_12b,number_detailed,S03,number,0.211,0.333,0.074,3.600,24.87,10,454,575
NHANES_Gemma3_12b,number_ruler_fewshot,S04,number,0.194,0.243,0.138,3.726,24.28,28,499,535
