experiment,source_item,expected_match,has_match,model,sample_size,S11_predicted,S11_correct,S11_error_type,S11_response_time,S18_predicted,S18_correct,S18_error_type,S18_response_time,S05_predicted,S05_correct,S05_error_type,S05_response_time,S15_predicted,S15_correct,S15_error_type,S15_response_time,S20_predicted,S20_correct,S20_error_type,S20_response_time,S12_predicted,S12_correct,S12_error_type,S12_response_time,S19_predicted,S19_correct,S19_error_type,S19_response_time,S13_predicted,S13_correct,S13_error_type,S13_response_time,S14_predicted,S14_correct,S14_error_type,S14_response_time,S16_predicted,S16_correct,S16_error_type,S16_response_time,S17_predicted,S17_correct,S17_error_type,S17_response_time,S08_predicted,S08_correct,S08_error_type,S08_response_time,S09_predicted,S09_correct,S09_error_type,S09_response_time,S10_predicted,S10_correct,S10_error_type,S10_response_time,S01_predicted,S01_correct,S01_error_type,S01_response_time,S07_predicted,S07_correct,S07_error_type,S07_response_time,S02_predicted,S02_correct,S02_error_type,S02_response_time,S06_predicted,S06_correct,S06_error_type,S06_response_time,S03_predicted,S03_correct,S03_error_type,S03_response_time,S04_predicted,S04_correct,S04_error_type,S04_response_time
NHANES_Gemma3_12b,"babyfood, dessert, peach yogurt",none,False,gemma3-12b,1317,none,True,,1.960,none,True,,3.392,none,True,,4.311,yogurt,False,false_positive,0.436,none,True,,0.738,none,True,,3.668,none,True,,2.876,none,True,,2.696,none,True,,2.562,none,True,,1.656,yogurt,False,false_positive,2.812,yogurt,False,false_positive,5.874,none,True,,1.123,yogurt,False,false_positive,5.855,yogurt,False,false_positive,3.998,yogurt,False,false_positive,2.794,yogurt,False,false_positive,4.580,yogurt,False,false_positive,3.463,yogurt,False,false_positive,6.494,yellow banana flesh only,False,false_positive,3.639
NHANES_Gemma3_12b,"spices, celery seed",none,False,gemma3-12b,1317,none,True,,5.802,none,True,,2.808,none,True,,3.936,none,True,,3.230,none,True,,0.553,none,True,,2.209,none,True,,0.625,none,True,,4.891,none,True,,0.671,none,True,,1.587,steamed celery stalk,False,false_positive,6.086,none,True,,3.548,none,True,,2.734,none,True,,11.238,basil,False,false_positive,5.133,steamed celery stalk,False,false_positive,1.582,basil,False,false_positive,3.111,basil,False,false_positive,2.283,basil,False,false_positive,3.818,yellow banana flesh only,False,false_positive,4.051
NHANES_Gemma3_12b,"shortening, vegetable, household, composite",none,False,gemma3-12b,1317,none,True,,1.571,none,True,,2.767,none,True,,4.781,none,True,,0.966,none,True,,2.352,none,True,,3.315,none,True,,1.448,none,True,,2.695,none,True,,0.624,none,True,,5.031,none,True,,1.163,none,True,,2.585,none,True,,4.848,none,True,,1.338,chunky vegetable soup,False,false_positive,2.280,unsalted butter,False,false_positive,3.740,chunky vegetable soup,False,false_positive,2.776,chunky vegetable soup,False,false_positive,3.593,soy flour,False,false_positive,1.479,dried coconut chips,False,false_positive,2.910
NHANES_Gemma3_12b,"beverages,  energy drink, citrus",none,False,gemma3-12b,1317,none,True,,7.414,none,True,,0.693,none,True,,4.929,none,True,,3.415,none,True,,0.324,none,True,,6.231,none,True,,3.513,none,True,,1.172,none,True,,0.709,none,True,,1.455,pulp free orange juice,False,false_positive,3.612,pulp free orange juice,False,false_positive,3.803,pulp free orange juice,False,false_positive,3.869,pulp free orange juice,False,false_positive,2.040,sprite,False,false_positive,3.485,sprite,False,false_positive,3.547,coca cola,False,false_positive,4.952,pulp free orange juice,False,false_positive,0.752,pulp free orange juice,False,false_positive,3.069,animal shaped crackers,False,false_positive,4.944
NHANES_Gemma3_12b,"beverages, chocolate powder, no sugar added",cocoa powder,True,gemma3-12b,1317,none,False,missed_match,3.853,none,False,missed_match,1.563,none,False,missed_match,0.884,chocolate,False,wrong_match,0.586,chocolate,False,wrong_match,2.343,none,False,missed_match,1.881,none,False,missed_match,3.777,none,False,missed_match,0.861,none,False,missed_match,3.036,none,False,missed_match,2.095,chocolate,False,wrong_match,3.604,none,False,missed_match,2.540,none,False,missed_match,1.545,none,False,missed_match,2.862,coca cola,False,wrong_match,5.487,chocolate,False,wrong_match,3.343,coca cola,False,wrong_match,2.519,navy beans,False,wrong_match,3.172,navy beans,False,wrong_match,6.741,none,False,missed_match,6.839
NHANES_Gemma3_12b,"barley, pearled, raw",whole grain pearl barley,True,gemma3-12b,1317,none,False,missed_match,1.400,none,False,missed_match,1.302,none,False,missed_match,3.568,whole grain pearl barley,True,,1.503,whole grain pearl barley,True,,1.484,none,False,missed_match,8.077,none,False,missed_match,3.999,none,False,missed_match,0.820,none,False,missed_match,3.582,none,False,missed_match,2.024,whole grain pearl barley,True,,5.776,enriched long white rice (mahatma),False,wrong_match,3.236,none,False,missed_match,5.717,enriched long white rice (mahatma),False,wrong_match,4.552,golden del apple flesh only,False,wrong_match,1.920,frozen whole blueberry,False,wrong_match,4.216,frozen whole blueberry,False,wrong_match,3.505,frozen whole blueberry,False,wrong_match,3.455,enriched long white rice (mahatma),False,wrong_match,4.304,yellow banana flesh only,False,wrong_match,4.802
NHANES_Gemma3_12b,"pork, fresh, variety meats and by-products, chitterlings, cooked, simmered",ground pork,True,gemma3-12b,1317,none,False,missed_match,1.867,none,False,missed_match,3.001,none,False,missed_match,3.947,none,False,missed_match,0.965,none,False,missed_match,2.543,none,False,missed_match,15.924,none,False,missed_match,4.150,cooked oat bran,False,wrong_match,2.413,cooked oat bran,False,wrong_match,2.410,none,False,missed_match,2.660,none,False,missed_match,1.526,none,False,missed_match,4.848,honeydew melon,False,wrong_match,5.484,honeydew melon,False,wrong_match,5.288,honeydew melon,False,wrong_match,1.873,honeydew melon,False,wrong_match,3.424,honeydew melon,False,wrong_match,2.526,honeydew melon,False,wrong_match,3.803,honeydew melon,False,wrong_match,4.743,none,False,missed_match,3.631
NHANES_Gemma3_12b,"beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",beef round tip steak,True,gemma3-12b,1317,beef round tip steak,True,,1.490,none,False,missed_match,1.380,steamed iceberg lettuce,False,wrong_match,6.533,beef round tip steak,True,,1.250,beef round tip steak,True,,1.023,none,False,missed_match,1.388,none,False,missed_match,1.639,beef round tip steak,True,,3.624,beef round tip steak,True,,2.639,none,False,missed_match,2.322,beef round tip steak,True,,4.439,none,False,missed_match,3.148,steamed iceberg lettuce,False,wrong_match,5.179,beef round tip steak,True,,4.542,beef round tip steak,True,,5.482,beef round tip steak,True,,3.815,steamed iceberg lettuce,False,wrong_match,2.703,steamed iceberg lettuce,False,wrong_match,4.534,steamed iceberg lettuce,False,wrong_match,4.515,steamed iceberg lettuce,False,wrong_match,3.357
NHANES_Gemma3_12b,"frog legs, raw",none,False,gemma3-12b,1317,none,True,,2.233,none,True,,4.097,none,True,,5.278,none,True,,1.094,none,True,,2.519,none,True,,1.317,none,True,,1.660,none,True,,1.697,none,True,,2.409,none,True,,1.867,none,True,,1.089,none,True,,1.592,none,True,,2.321,none,True,,4.659,none,True,,4.625,frozen whole baby asparagus,False,false_positive,0.700,none,True,,2.758,none,True,,2.502,brown egg yolk,False,false_positive,2.769,none,True,,4.706
NHANES_Gemma3_12b,"nuts, coconut meat, raw",dried coconut chips,True,gemma3-12b,1317,none,False,missed_match,4.184,dried coconut strips,False,wrong_match,4.249,none,False,missed_match,0.687,none,False,missed_match,8.069,dried coconut strips,False,wrong_match,4.050,none,False,missed_match,3.447,none,False,missed_match,1.491,none,False,missed_match,0.484,none,False,missed_match,2.439,none,False,missed_match,2.415,dried coconut strips,False,wrong_match,3.675,dried coconut strips,False,wrong_match,3.443,dried coconut strips,False,wrong_match,4.036,chocolate chip cookies,False,wrong_match,0.738,peanuts,False,wrong_match,1.329,dried coconut strips,False,wrong_match,3.219,dried coconut strips,False,wrong_match,3.398,peanuts,False,wrong_match,3.786,peanuts,False,wrong_match,3.234,all purpose flour,False,wrong_match,1.300
NHANES_Gemma3_12b,"yogurt, plain, whole milk",yogurt,True,gemma3-12b,1317,yogurt,True,,2.252,yogurt,True,,1.342,yogurt,True,,5.158,yogurt,True,,1.537,yogurt,True,,2.128,none,False,missed_match,0.377,yogurt,True,,3.822,yogurt,True,,2.230,yogurt,True,,3.150,yogurt,True,,3.364,yogurt,True,,2.860,yogurt,True,,3.207,none,False,missed_match,2.429,yogurt,True,,5.445,yogurt,True,,0.616,yogurt,True,,6.444,yogurt,True,,2.525,yogurt,True,,2.818,yogurt,True,,3.329,yogurt,True,,0.920
NHANES_Gemma3_12b,"pasta, whole-wheat, cooked (includes foods for usda's food distribution program)",whole wheat spaghetti,True,gemma3-12b,1317,whole wheat spaghetti,True,,3.269,whole wheat spaghetti,True,,2.090,none,False,missed_match,1.621,whole wheat spaghetti,True,,0.629,whole wheat spaghetti,True,,4.444,none,False,missed_match,1.146,none,False,missed_match,0.896,whole wheat spaghetti,True,,1.355,pasta sauce w/ tomato and basil,False,wrong_match,0.333,whole wheat spaghetti,True,,1.646,whole wheat spaghetti,True,,5.355,whole wheat spaghetti,True,,3.064,whole wheat spaghetti,True,,0.554,whole wheat spaghetti,True,,1.574,whole wheat spaghetti,True,,3.500,whole wheat spaghetti,True,,4.241,whole wheat spaghetti,True,,6.438,whole wheat spaghetti,True,,4.199,whole wheat spaghetti,True,,3.201,whole wheat spaghetti,True,,4.067
NHANES_Gemma3_12b,"cheese, colby",sharp chedder cheese,True,gemma3-12b,1317,none,False,missed_match,1.294,none,False,missed_match,2.119,none,False,missed_match,1.416,none,False,missed_match,1.655,none,False,missed_match,0.452,none,False,missed_match,1.308,none,False,missed_match,3.168,none,False,missed_match,2.604,none,False,missed_match,1.200,none,False,missed_match,1.076,cheese crackers,False,wrong_match,1.127,seedless watermelon,False,wrong_match,4.943,none,False,missed_match,2.420,unsalted butter,False,wrong_match,3.622,none,False,missed_match,0.318,cream cheese,False,wrong_match,4.613,arugula,False,wrong_match,1.819,hunt's tomato paste,False,wrong_match,3.247,almond butter (justin's),False,wrong_match,4.014,albacore white tuna,False,wrong_match,3.914
NHANES_Gemma3_12b,"apricots, raw",whole apricot,True,gemma3-12b,1317,dried apricots,False,wrong_match,1.744,dried apricots,False,wrong_match,4.220,whole apricot,True,,5.958,dried apricots,False,wrong_match,2.180,dried apricots,False,wrong_match,2.287,dried apricots,False,wrong_match,1.824,dried apricots,False,wrong_match,1.282,dried apricots,False,wrong_match,0.603,none,False,missed_match,4.370,dried apricots,False,wrong_match,3.505,dried apricots,False,wrong_match,0.986,whole apricot,True,,1.134,none,False,missed_match,0.473,whole apricot,True,,5.497,whole apricot,True,,0.538,whole apricot,True,,0.939,whole apricot,True,,3.157,whole apricot,True,,2.957,whole apricot,True,,3.126,original apple sauce (tree top),False,wrong_match,1.645
NHANES_Gemma3_12b,"chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised",none,False,gemma3-12b,1317,none,True,,8.194,none,True,,1.550,none,True,,5.899,none,True,,2.667,none,True,,1.695,none,True,,0.342,none,True,,12.655,none,True,,8.890,none,True,,0.707,none,True,,16.420,none,True,,0.886,none,True,,1.877,none,True,,4.040,plant based bacon strip,False,false_positive,2.598,ground pork,False,false_positive,4.694,ground pork,False,false_positive,4.447,flour tortilla,False,false_positive,4.359,flour tortilla,False,false_positive,5.295,flour tortilla,False,false_positive,4.287,granola,False,false_positive,6.017
NHANES_Gemma3_12b,"beverages, lemonade fruit juice drink light, fortified with vitamin e and c",none,False,gemma3-12b,1317,none,True,,1.286,none,True,,1.721,none,True,,1.520,none,True,,2.526,none,True,,2.613,none,True,,1.760,none,True,,1.979,none,True,,5.918,none,True,,1.253,none,True,,1.556,pulp free orange juice,False,false_positive,5.774,pulp free orange juice,False,false_positive,0.920,pulp free orange juice,False,false_positive,3.251,pulp free orange juice,False,false_positive,2.717,pulp free orange juice,False,false_positive,0.511,pulp free orange juice,False,false_positive,4.312,pulp free orange juice,False,false_positive,2.894,pulp free orange juice,False,false_positive,4.097,pulp free orange juice,False,false_positive,2.799,none,True,,2.504
NHANES_Gemma3_12b,"margarine-like, vegetable oil-butter spread, reduced calorie, tub, with salt",none,False,gemma3-12b,1317,none,True,,1.042,none,True,,3.529,none,True,,4.092,none,True,,2.075,none,True,,1.307,none,True,,0.718,none,True,,1.569,none,True,,2.161,none,True,,1.821,none,True,,1.462,none,True,,3.632,unsalted butter,False,false_positive,0.777,unsalted butter,False,false_positive,2.027,unsalted butter,False,false_positive,2.615,unsalted butter,False,false_positive,5.861,almond butter (justin's),False,false_positive,3.578,unsalted butter,False,false_positive,4.379,unsalted butter,False,false_positive,1.805,unsalted butter,False,false_positive,3.222,dried coconut chips,False,false_positive,4.026
NHANES_Gemma3_12b,"cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",steamed baby bok choy leaves and stalk,True,gemma3-12b,1317,none,False,missed_match,1.554,none,False,missed_match,2.735,none,False,missed_match,1.914,none,False,missed_match,1.721,steamed whole red bell pepper w/o seed,False,wrong_match,9.255,none,False,missed_match,3.069,none,False,missed_match,3.821,none,False,missed_match,0.371,none,False,missed_match,2.571,none,False,missed_match,1.911,none,False,missed_match,3.578,steamed whole snow peas,False,wrong_match,0.661,none,False,missed_match,1.424,none,False,missed_match,2.397,purple cabbage,False,wrong_match,0.446,purple cabbage,False,wrong_match,6.028,purple cabbage,False,wrong_match,6.803,purple cabbage,False,wrong_match,2.780,frozen edamame,False,wrong_match,3.273,yellow banana flesh only,False,wrong_match,0.747
NHANES_Gemma3_12b,"frankfurter, beef, unheated",beef round tip steak,True,gemma3-12b,1317,none,False,missed_match,1.401,none,False,missed_match,3.260,none,False,missed_match,4.291,none,False,missed_match,2.603,none,False,missed_match,1.221,none,False,missed_match,1.642,none,False,missed_match,1.576,none,False,missed_match,5.021,none,False,missed_match,2.174,none,False,missed_match,0.410,plant based hot dog,False,wrong_match,1.647,none,False,missed_match,2.115,none,False,missed_match,3.159,beef round tip steak,True,,2.238,plant based hot dog,False,wrong_match,5.616,plant based hot dog,False,wrong_match,0.724,plant based hot dog,False,wrong_match,2.871,steamed iceberg lettuce,False,wrong_match,3.516,steamed iceberg lettuce,False,wrong_match,2.111,yellow banana flesh only,False,wrong_match,6.160
NHANES_Gemma3_12b,"alcoholic beverage, wine, table, red",cabernet sauvignon wine,True,gemma3-12b,1317,cabernet sauvignon wine,True,,3.855,cabernet sauvignon wine,True,,4.296,none,False,missed_match,4.065,cabernet sauvignon wine,True,,0.354,cabernet sauvignon wine,True,,5.453,cabernet sauvignon wine,True,,5.316,cabernet sauvignon wine,True,,4.137,cabernet sauvignon wine,True,,0.616,none,False,missed_match,1.029,cabernet sauvignon wine,True,,2.322,cabernet sauvignon wine,True,,6.788,cabernet sauvignon wine,True,,5.616,cabernet sauvignon wine,True,,3.559,cabernet sauvignon wine,True,,4.422,cabernet sauvignon wine,True,,1.373,cabernet sauvignon wine,True,,5.252,cabernet sauvignon wine,True,,3.605,cabernet sauvignon wine,True,,3.803,cabernet sauvignon wine,True,,2.013,cabernet sauvignon wine,True,,5.604
NHANES_Gemma3_12b,"whipped cream substitute, dietetic, made from powdered mix",none,False,gemma3-12b,1317,none,True,,1.233,none,True,,2.662,none,True,,1.384,none,True,,0.361,none,True,,1.344,none,True,,0.390,none,True,,2.426,none,True,,2.430,none,True,,1.840,none,True,,1.186,none,True,,2.452,none,True,,4.244,none,True,,3.389,coconut milk,False,false_positive,1.454,none,True,,0.485,protein powder,False,false_positive,2.409,protein powder,False,false_positive,3.331,protein powder,False,false_positive,2.462,almond butter (justin's),False,false_positive,2.893,yellow banana flesh only,False,false_positive,6.497
