experiment,source_item,expected_match,has_match,model,sample_size,S13_predicted,S13_correct,S13_error_type,S13_response_time,S15_predicted,S15_correct,S15_error_type,S15_response_time,S20_predicted,S20_correct,S20_error_type,S20_response_time,S03_predicted,S03_correct,S03_error_type,S03_response_time,S11_predicted,S11_correct,S11_error_type,S11_response_time,S18_predicted,S18_correct,S18_error_type,S18_response_time,S01_predicted,S01_correct,S01_error_type,S01_response_time,S12_predicted,S12_correct,S12_error_type,S12_response_time,S16_predicted,S16_correct,S16_error_type,S16_response_time,S06_predicted,S06_correct,S06_error_type,S06_response_time,S08_predicted,S08_correct,S08_error_type,S08_response_time,S14_predicted,S14_correct,S14_error_type,S14_response_time,S09_predicted,S09_correct,S09_error_type,S09_response_time,S19_predicted,S19_correct,S19_error_type,S19_response_time,S17_predicted,S17_correct,S17_error_type,S17_response_time,S02_predicted,S02_correct,S02_error_type,S02_response_time,S05_predicted,S05_correct,S05_error_type,S05_response_time,S10_predicted,S10_correct,S10_error_type,S10_response_time,S07_predicted,S07_correct,S07_error_type,S07_response_time,S04_predicted,S04_correct,S04_error_type,S04_response_time
NHANES_Gemma3_4b,"ham, sliced, pre-packaged, deli meat (96%fat free, water added)",ground pork,True,gemma3-4b,1317,none,False,missed_match,0.743,plant based bacon strip,False,wrong_match,0.308,none,False,missed_match,1.063,none,False,missed_match,1.271,none,False,missed_match,0.718,plant based bacon strip,False,wrong_match,1.073,refried beans,False,wrong_match,0.440,none,False,missed_match,0.385,whole whole grains english muffin (oroweat),False,wrong_match,1.970,none,False,missed_match,0.177,none,False,missed_match,0.646,none,False,missed_match,1.424,none,False,missed_match,0.902,none,False,missed_match,0.635,plant based bacon strip,False,wrong_match,0.661,none,False,missed_match,1.282,albacore white tuna,False,wrong_match,0.193,none,False,missed_match,0.335,albacore white tuna,False,wrong_match,0.890,plantain banana (steamed 10 in),False,wrong_match,1.127
NHANES_Gemma3_4b,"barley, pearled, cooked",whole grain pearl barley,True,gemma3-4b,1317,none,False,missed_match,0.462,none,False,missed_match,0.858,none,False,missed_match,0.406,none,False,missed_match,0.516,none,False,missed_match,1.164,none,False,missed_match,0.235,none,False,missed_match,1.363,none,False,missed_match,0.666,none,False,missed_match,0.522,none,False,missed_match,1.518,none,False,missed_match,0.645,none,False,missed_match,1.337,none,False,missed_match,1.331,none,False,missed_match,0.788,toasted pearl couscous,False,wrong_match,1.707,steamed whole snow peas,False,wrong_match,0.320,steamed whole snow peas,False,wrong_match,1.404,original apple sauce (tree top),False,wrong_match,0.604,steamed whole snow peas,False,wrong_match,1.090,plantain banana (steamed 10 in),False,wrong_match,1.120
NHANES_Gemma3_4b,"margarine-like, vegetable oil spread, 60% fat, tub, with salt",none,False,gemma3-4b,1317,none,True,,3.829,none,True,,1.928,none,True,,0.890,none,True,,1.982,none,True,,0.858,none,True,,0.902,original apple sauce (tree top),False,false_positive,0.352,none,True,,1.690,frozen whole sweet green peas (flav r pac),False,false_positive,0.764,none,True,,0.505,none,True,,0.599,none,True,,1.003,none,True,,1.331,whole original english muffin (thomas),False,false_positive,3.058,vegetable chips,False,false_positive,0.634,none,True,,0.616,original apple sauce (tree top),False,false_positive,1.718,none,True,,1.411,original apple sauce (tree top),False,false_positive,1.507,plantain banana (steamed 10 in),False,false_positive,0.919
NHANES_Gemma3_4b,"turnip greens, frozen, cooked, boiled, drained, without salt",none,False,gemma3-4b,1317,none,True,,2.939,none,True,,0.254,none,True,,3.360,none,True,,0.370,none,True,,1.154,frozen whole okra,False,false_positive,1.256,none,True,,1.306,none,True,,2.704,frozen whole okra,False,false_positive,1.627,none,True,,1.090,none,True,,1.333,none,True,,2.428,none,True,,1.208,none,True,,0.866,frozen whole sweet green peas (flav r pac),False,false_positive,0.812,frozen whole sweet green peas (flav r pac),False,false_positive,0.813,none,True,,0.181,nutella spread,False,false_positive,1.644,frozen whole sweet green peas (flav r pac),False,false_positive,1.396,unsalted butter,False,false_positive,0.734
NHANES_Gemma3_4b,"spices, pepper, red or cayenne",none,False,gemma3-4b,1317,none,True,,3.510,steamed whole red bell pepper w/o seed,False,false_positive,1.272,none,True,,0.164,none,True,,1.577,none,True,,0.625,parsley,False,false_positive,0.834,none,True,,1.485,none,True,,0.382,steamed whole red bell pepper w/o seed,False,false_positive,0.220,none,True,,1.758,none,True,,1.252,none,True,,0.923,none,True,,0.727,none,True,,0.861,none,True,,2.161,steamed whole red bell pepper w/o seed,False,false_positive,1.526,garlic,False,false_positive,1.505,original apple sauce (tree top),False,false_positive,1.332,steamed whole red bell pepper w/o seed,False,false_positive,1.586,original apple sauce (tree top),False,false_positive,0.685
NHANES_Gemma3_4b,"pickles, cucumber, sour, low sodium",pickles,True,gemma3-4b,1317,none,False,missed_match,0.775,none,False,missed_match,1.259,none,False,missed_match,0.297,pickles,True,,0.519,none,False,missed_match,2.203,none,False,missed_match,0.305,none,False,missed_match,1.305,none,False,missed_match,0.262,whole english cucumber,False,wrong_match,0.579,none,False,missed_match,1.975,none,False,missed_match,1.472,none,False,missed_match,0.620,none,False,missed_match,1.177,none,False,missed_match,0.839,whole english cucumber,False,wrong_match,1.029,sour cream,False,wrong_match,0.735,pickles,True,,1.750,pickles,True,,2.047,pickles,True,,0.573,whole strawberry,False,wrong_match,1.072
NHANES_Gemma3_4b,"beverages, yellow green colored citrus soft drink with caffeine",none,False,gemma3-4b,1317,none,True,,0.720,none,True,,0.309,none,True,,0.420,none,True,,0.582,none,True,,2.572,coca cola,False,false_positive,0.436,steamed whole carrots,False,false_positive,0.572,none,True,,2.095,none,True,,1.069,none,True,,2.627,none,True,,0.696,none,True,,0.875,none,True,,0.427,whole original english muffin (thomas),False,false_positive,1.297,coca cola,False,false_positive,1.422,pulp free orange juice,False,false_positive,1.184,steamed green zuchini,False,false_positive,1.536,pulp free orange juice,False,false_positive,1.465,coca cola,False,false_positive,0.697,plantain banana (steamed 10 in),False,false_positive,0.810
NHANES_Gemma3_4b,"game meat, rabbit, domesticated, composite of cuts, cooked, stewed",none,False,gemma3-4b,1317,none,True,,0.745,none,True,,0.543,none,True,,0.592,none,True,,0.726,none,True,,0.463,none,True,,0.357,none,True,,1.526,none,True,,0.965,none,True,,0.264,none,True,,1.688,none,True,,0.782,none,True,,1.650,none,True,,0.611,none,True,,0.779,none,True,,0.771,none,True,,0.966,none,True,,1.574,none,True,,1.424,yellow banana flesh only,False,false_positive,0.694,none,True,,3.142
NHANES_Gemma3_4b,"beverages, lemonade-flavor drink, powder",none,False,gemma3-4b,1317,none,True,,1.176,protein powder,False,false_positive,0.439,none,True,,0.098,none,True,,1.653,none,True,,1.297,protein powder,False,false_positive,0.946,none,True,,1.708,none,True,,1.541,protein powder,False,false_positive,0.292,none,True,,1.497,none,True,,1.644,none,True,,2.255,none,True,,1.476,whole original english muffin (thomas),False,false_positive,2.845,freeze dried apple rings,False,false_positive,1.630,none,True,,0.983,apple juice,False,false_positive,1.342,carrot juice,False,false_positive,0.219,original apple sauce (tree top),False,false_positive,1.476,pumpkin seeds,False,false_positive,0.847
NHANES_Gemma3_4b,"breakfast bar, corn flake crust with fruit",snack bar (blueberry),True,gemma3-4b,1317,none,False,missed_match,1.140,none,False,missed_match,0.945,original apple sauce (tree top),False,wrong_match,2.414,none,False,missed_match,1.620,none,False,missed_match,0.341,none,False,missed_match,1.764,none,False,missed_match,1.163,none,False,missed_match,1.028,none,False,missed_match,3.411,none,False,missed_match,0.836,none,False,missed_match,2.108,none,False,missed_match,0.405,none,False,missed_match,0.916,none,False,missed_match,0.881,none,False,missed_match,0.613,none,False,missed_match,2.448,original apple sauce (tree top),False,wrong_match,0.271,original apple sauce (tree top),False,wrong_match,0.163,honey nut oat cereal,False,wrong_match,0.981,brown egg yolk,False,wrong_match,0.382
