experiment,strategy,strategy_id,format,overall_acc,match_acc,no_match_acc,avg_time,throughput,missed_matches,wrong_matches,false_positives
NHANES_Gemma3_27b,text_minimal,S11,text,0.655,0.493,0.837,5.764,15.43,339,14,101
NHANES_Gemma3_27b,number_strict,S05,number,0.644,0.480,0.828,7.787,11.74,274,88,107
NHANES_Gemma3_27b,text_smart_categ,S18,text,0.640,0.591,0.696,6.370,14.20,195,90,189
NHANES_Gemma3_27b,text_semantic,S15,text,0.630,0.668,0.588,5.829,15.00,139,92,256
NHANES_Gemma3_27b,text_validation,S20,text,0.623,0.661,0.580,5.636,16.07,126,110,261
NHANES_Gemma3_27b,text_simple,S12,text,0.601,0.572,0.634,5.752,16.01,226,72,227
NHANES_Gemma3_27b,text_ruler_fewshot,S14,text,0.594,0.362,0.853,5.685,16.22,423,21,91
NHANES_Gemma3_27b,text_point_game,S19,text,0.587,0.624,0.546,5.995,15.22,154,108,282
NHANES_Gemma3_27b,text_strict,S16,text,0.586,0.277,0.932,5.463,16.66,483,20,42
NHANES_Gemma3_27b,text_detailed,S13,text,0.569,0.481,0.668,5.806,15.12,289,72,206
NHANES_Gemma3_27b,text_contextual,S17,text,0.519,0.750,0.259,5.942,15.20,46,128,460
NHANES_Gemma3_27b,number_point_game,S09,number,0.502,0.691,0.290,8.253,10.59,41,174,441
NHANES_Gemma3_27b,number_validation,S10,number,0.471,0.682,0.233,7.960,11.37,7,214,476
NHANES_Gemma3_27b,number_minimal,S01,number,0.409,0.628,0.163,7.815,11.54,40,219,520
NHANES_Gemma3_27b,number_contextual,S07,number,0.373,0.678,0.031,7.882,11.71,0,224,602
NHANES_Gemma3_27b,number_ruler_fewshot,S04,number,0.341,0.642,0.003,7.918,11.31,0,249,619
NHANES_Gemma3_27b,number_smart_categ,S08,number,0.333,0.526,0.116,8.203,11.09,13,317,549
NHANES_Gemma3_27b,number_semantic,S06,number,0.309,0.546,0.043,7.857,11.58,14,302,594
NHANES_Gemma3_27b,number_detailed,S03,number,0.307,0.578,0.003,8.078,11.09,0,294,619
NHANES_Gemma3_27b,number_simple,S02,number,0.279,0.511,0.018,8.065,10.87,0,340,610
