experiment,dataset,model_family,model_size,strategy_id,strategy_name,response_format,overall_accuracy,match_accuracy,no_match_accuracy,avg_response_time,throughput,missed_matches,wrong_matches,false_positives,sample_size
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S11,text_minimal,text,0.655,0.493,0.837,5.764,15.43,339,14,101,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S05,number_strict,number,0.644,0.480,0.828,7.787,11.74,274,88,107,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S18,text_smart_categ,text,0.640,0.591,0.696,6.370,14.20,195,90,189,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S15,text_semantic,text,0.630,0.668,0.588,5.829,15.00,139,92,256,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S20,text_validation,text,0.623,0.661,0.580,5.636,16.07,126,110,261,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S12,text_simple,text,0.601,0.572,0.634,5.752,16.01,226,72,227,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S14,text_ruler_fewshot,text,0.594,0.362,0.853,5.685,16.22,423,21,91,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S19,text_point_game,text,0.587,0.624,0.546,5.995,15.22,154,108,282,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S16,text_strict,text,0.586,0.277,0.932,5.463,16.66,483,20,42,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S13,text_detailed,text,0.569,0.481,0.668,5.806,15.12,289,72,206,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S17,text_contextual,text,0.519,0.750,0.259,5.942,15.20,46,128,460,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S09,number_point_game,number,0.502,0.691,0.290,8.253,10.59,41,174,441,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S10,number_validation,number,0.471,0.682,0.233,7.960,11.37,7,214,476,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S01,number_minimal,number,0.409,0.628,0.163,7.815,11.54,40,219,520,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S07,number_contextual,number,0.373,0.678,0.031,7.882,11.71,0,224,602,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S04,number_ruler_fewshot,number,0.341,0.642,0.003,7.918,11.31,0,249,619,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S08,number_smart_categ,number,0.333,0.526,0.116,8.203,11.09,13,317,549,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S06,number_semantic,number,0.309,0.546,0.043,7.857,11.58,14,302,594,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S03,number_detailed,number,0.307,0.578,0.003,8.078,11.09,0,294,619,1317
NHANES_Gemma3_27b,NHANES,Gemma3,27b,S02,number_simple,number,0.279,0.511,0.018,8.065,10.87,0,340,610,1317
