experiment,source_item,expected_match,has_match,model,sample_size,S11_predicted,S11_correct,S11_error_type,S11_response_time,S05_predicted,S05_correct,S05_error_type,S05_response_time,S18_predicted,S18_correct,S18_error_type,S18_response_time,S15_predicted,S15_correct,S15_error_type,S15_response_time,S20_predicted,S20_correct,S20_error_type,S20_response_time,S12_predicted,S12_correct,S12_error_type,S12_response_time,S14_predicted,S14_correct,S14_error_type,S14_response_time,S19_predicted,S19_correct,S19_error_type,S19_response_time,S16_predicted,S16_correct,S16_error_type,S16_response_time,S13_predicted,S13_correct,S13_error_type,S13_response_time,S17_predicted,S17_correct,S17_error_type,S17_response_time,S09_predicted,S09_correct,S09_error_type,S09_response_time,S10_predicted,S10_correct,S10_error_type,S10_response_time,S01_predicted,S01_correct,S01_error_type,S01_response_time,S07_predicted,S07_correct,S07_error_type,S07_response_time,S04_predicted,S04_correct,S04_error_type,S04_response_time,S08_predicted,S08_correct,S08_error_type,S08_response_time,S06_predicted,S06_correct,S06_error_type,S06_response_time,S03_predicted,S03_correct,S03_error_type,S03_response_time,S02_predicted,S02_correct,S02_error_type,S02_response_time
NHANES_Gemma3_27b,"margarine,spread, 35-39% fat, tub",none,False,gemma3-27b,1317,none,True,,30.004,none,True,,7.781,none,True,,3.651,none,True,,14.751,none,True,,0.783,tahini spread (365 whole foods market),False,false_positive,8.388,none,True,,18.145,none,True,,6.583,none,True,,3.624,tahini spread (365 whole foods market),False,false_positive,10.633,tahini spread (365 whole foods market),False,false_positive,13.885,tahini spread (365 whole foods market),False,false_positive,9.429,tahini spread (365 whole foods market),False,false_positive,10.903,tahini spread (365 whole foods market),False,false_positive,10.422,unsalted butter,False,false_positive,8.289,unsalted butter,False,false_positive,6.986,unsalted butter,False,false_positive,8.922,tahini spread (365 whole foods market),False,false_positive,8.658,unsalted butter,False,false_positive,6.858,unsalted butter,False,false_positive,12.594
NHANES_Gemma3_27b,"cream substitute, powdered, light",none,False,gemma3-27b,1317,none,True,,0.427,none,True,,7.436,none,True,,3.297,protein powder,False,false_positive,2.046,none,True,,8.609,none,True,,1.082,none,True,,2.798,none,True,,5.070,none,True,,1.876,none,True,,1.694,protein powder,False,false_positive,4.751,none,True,,8.981,none,True,,6.126,coconut milk,False,false_positive,10.427,protein powder,False,false_positive,8.138,coconut milk,False,false_positive,5.408,half and half,False,false_positive,7.675,coconut milk,False,false_positive,11.769,coconut milk,False,false_positive,9.133,half and half,False,false_positive,8.396
NHANES_Gemma3_27b,"cranberry sauce, canned, sweetened",cranberry,True,gemma3-27b,1317,none,False,missed_match,6.055,none,False,missed_match,7.530,none,False,missed_match,3.678,cranberry,True,,4.196,none,False,missed_match,8.768,none,False,missed_match,3.590,none,False,missed_match,5.298,none,False,missed_match,1.171,none,False,missed_match,4.840,none,False,missed_match,5.687,none,False,missed_match,3.962,cranberry,True,,11.971,cranberry,True,,10.050,cranberry,True,,9.239,cranberry,True,,12.244,cranberry,True,,8.371,cranberry,True,,8.357,cranberry,True,,9.489,cranberry,True,,8.085,cranberry,True,,9.316
NHANES_Gemma3_27b,"game meat, bison, separable lean only, cooked, roasted",none,False,gemma3-27b,1317,none,True,,3.628,none,True,,8.063,none,True,,3.255,none,True,,2.713,none,True,,5.476,none,True,,4.050,none,True,,2.920,none,True,,6.529,none,True,,1.790,none,True,,5.680,beef round tip steak,False,false_positive,6.785,none,True,,9.669,ground pork,False,false_positive,9.345,ground pork,False,false_positive,8.964,plant based bacon strip,False,false_positive,7.301,beef round tip steak,False,false_positive,8.847,none,True,,8.306,ground pork,False,false_positive,12.302,beef round tip steak,False,false_positive,7.563,ground pork,False,false_positive,8.331
NHANES_Gemma3_27b,"fish, salmon, pink, canned, total can contents",none,False,gemma3-27b,1317,none,True,,9.159,none,True,,2.410,albacore white tuna,False,false_positive,8.159,plant based fish fillet,False,false_positive,5.591,none,True,,5.948,none,True,,9.497,albacore white tuna,False,false_positive,4.263,albacore white tuna,False,false_positive,10.275,none,True,,0.421,plant based fish fillet,False,false_positive,4.076,plant based fish fillet,False,false_positive,0.893,albacore white tuna,False,false_positive,12.045,albacore white tuna,False,false_positive,10.512,albacore white tuna,False,false_positive,12.942,albacore white tuna,False,false_positive,9.983,albacore white tuna,False,false_positive,8.747,albacore white tuna,False,false_positive,8.878,albacore white tuna,False,false_positive,7.749,albacore white tuna,False,false_positive,6.861,albacore white tuna,False,false_positive,10.170
NHANES_Gemma3_27b,"turkey, whole, meat only, cooked, roasted",ground turkey,True,gemma3-27b,1317,ground turkey,True,,4.257,none,False,missed_match,6.665,ground turkey,True,,5.513,ground turkey,True,,4.661,ground turkey,True,,1.138,ground turkey,True,,3.125,none,False,missed_match,2.272,ground turkey,True,,0.832,none,False,missed_match,4.784,ground turkey,True,,3.145,ground turkey,True,,4.565,ground turkey,True,,11.111,ground turkey,True,,7.754,ground pork,False,wrong_match,10.108,ground turkey,True,,8.243,ground pork,False,wrong_match,7.479,ground pork,False,wrong_match,9.895,ground pork,False,wrong_match,8.665,ground pork,False,wrong_match,6.130,ground pork,False,wrong_match,14.200
NHANES_Gemma3_27b,"peaches, dried, sulfured, uncooked",none,False,gemma3-27b,1317,dried coconut chips,False,false_positive,4.677,none,True,,8.160,dried coconut chips,False,false_positive,5.873,dried coconut chips,False,false_positive,5.643,none,True,,2.607,dried coconut strips,False,false_positive,4.155,dried coconut strips,False,false_positive,2.884,dried coconut chips,False,false_positive,0.747,none,True,,7.372,dried coconut strips,False,false_positive,3.700,dried coconut chips,False,false_positive,7.001,dried apricots,False,false_positive,11.953,banana chips,False,false_positive,8.322,banana chips,False,false_positive,15.276,dried apricots,False,false_positive,4.479,banana chips,False,false_positive,8.672,banana chips,False,false_positive,9.748,banana chips,False,false_positive,7.528,banana chips,False,false_positive,4.398,banana chips,False,false_positive,8.770
NHANES_Gemma3_27b,"pears, dried, sulfured, stewed, without added sugar",none,False,gemma3-27b,1317,none,True,,2.310,whole bartlett pear flesh only,False,false_positive,9.504,whole bartlett pear flesh only,False,false_positive,8.609,none,True,,5.223,whole bartlett pear flesh only,False,false_positive,13.539,whole bartlett pear flesh only,False,false_positive,5.130,none,True,,15.454,whole bartlett pear flesh only,False,false_positive,10.022,none,True,,6.150,dried coconut strips,False,false_positive,3.746,none,True,,3.960,whole bartlett pear flesh only,False,false_positive,1.105,whole bartlett pear flesh only,False,false_positive,5.990,whole bartlett pear flesh only,False,false_positive,11.772,banana chips,False,false_positive,6.711,whole bartlett pear flesh only,False,false_positive,9.781,whole bartlett pear flesh only,False,false_positive,6.681,dried apricots,False,false_positive,10.077,whole bartlett pear flesh only,False,false_positive,7.493,whole bartlett pear flesh only,False,false_positive,9.856
NHANES_Gemma3_27b,"alcoholic beverage, liqueur, coffee, 53 proof",none,False,gemma3-27b,1317,none,True,,3.854,brewed coffee,False,false_positive,9.015,brewed coffee,False,false_positive,4.727,none,True,,16.038,brewed coffee,False,false_positive,8.242,none,True,,9.507,none,True,,10.900,brewed coffee,False,false_positive,7.564,brewed coffee,False,false_positive,8.879,brewed coffee,False,false_positive,4.853,brewed coffee,False,false_positive,4.688,brewed coffee,False,false_positive,10.506,brewed coffee,False,false_positive,7.049,brewed coffee,False,false_positive,9.350,brewed coffee,False,false_positive,9.601,brewed coffee,False,false_positive,8.052,brewed coffee,False,false_positive,9.635,none,True,,13.100,brewed coffee,False,false_positive,5.778,brewed coffee,False,false_positive,4.892
NHANES_Gemma3_27b,"wheat flour, whole-grain (includes foods for usda's food distribution program)",whole wheat flour,True,gemma3-27b,1317,none,False,missed_match,8.584,whole wheat flour,True,,5.441,none,False,missed_match,3.850,whole wheat flour,True,,5.920,whole wheat flour,True,,4.957,none,False,missed_match,13.307,none,False,missed_match,1.461,none,False,missed_match,7.282,whole wheat flour,True,,10.766,none,False,missed_match,15.599,whole wheat flour,True,,5.630,whole wheat flour,True,,11.264,whole wheat flour,True,,7.797,whole wheat flour,True,,5.057,whole wheat flour,True,,8.800,whole wheat flour,True,,9.552,whole wheat flour,True,,9.158,whole wheat flour,True,,8.422,whole wheat flour,True,,8.670,whole wheat flour,True,,11.897
NHANES_Gemma3_27b,"pasta, whole-wheat, cooked (includes foods for usda's food distribution program)",whole wheat spaghetti,True,gemma3-27b,1317,whole wheat spaghetti,True,,3.277,whole wheat spaghetti,True,,6.723,whole wheat spaghetti,True,,3.621,whole wheat spaghetti,True,,2.663,whole wheat spaghetti,True,,5.075,whole wheat spaghetti,True,,3.129,whole wheat spaghetti,True,,4.457,whole wheat spaghetti,True,,5.201,none,False,missed_match,2.604,whole wheat spaghetti,True,,4.763,whole wheat spaghetti,True,,5.670,whole wheat spaghetti,True,,3.592,whole wheat spaghetti,True,,7.180,whole wheat spaghetti,True,,9.130,whole wheat spaghetti,True,,5.855,whole wheat spaghetti,True,,10.223,whole wheat spaghetti,True,,6.281,whole wheat spaghetti,True,,8.719,whole wheat spaghetti,True,,4.259,whole wheat spaghetti,True,,10.922
NHANES_Gemma3_27b,"marmalade, orange",orange jam (bonne maman),True,gemma3-27b,1317,none,False,missed_match,8.425,none,False,missed_match,8.930,orange jam (bonne maman),True,,5.598,orange jam (bonne maman),True,,6.332,orange jam (bonne maman),True,,6.977,none,False,missed_match,10.626,none,False,missed_match,8.848,orange jam (bonne maman),True,,12.006,none,False,missed_match,4.872,none,False,missed_match,13.674,orange jam (bonne maman),True,,4.501,pulp free orange juice,False,wrong_match,11.507,pulp free orange juice,False,wrong_match,3.080,pulp free orange juice,False,wrong_match,8.981,orange jam (bonne maman),True,,7.282,pulp free orange juice,False,wrong_match,3.283,pulp free orange juice,False,wrong_match,5.491,pulp free orange juice,False,wrong_match,7.186,pulp free orange juice,False,wrong_match,7.170,pulp free orange juice,False,wrong_match,4.513
NHANES_Gemma3_27b,"sweeteners, tabletop, fructose, dry, powder",none,False,gemma3-27b,1317,none,True,,6.336,none,True,,3.356,none,True,,6.826,table sugar,False,false_positive,4.190,none,True,,2.806,table sugar,False,false_positive,5.331,none,True,,11.690,table sugar,False,false_positive,7.808,none,True,,7.637,none,True,,1.838,table sugar,False,false_positive,3.191,dried apricots,False,false_positive,0.657,honey,False,false_positive,11.100,table sugar,False,false_positive,5.436,table sugar,False,false_positive,6.593,whole wheat bread,False,false_positive,5.651,table sugar,False,false_positive,8.754,table sugar,False,false_positive,6.901,honey,False,false_positive,9.093,table sugar,False,false_positive,12.280
NHANES_Gemma3_27b,"oil, peanut, salad or cooking",none,False,gemma3-27b,1317,none,True,,6.031,peanuts,False,false_positive,7.624,peanuts,False,false_positive,7.804,peanuts,False,false_positive,3.580,peanuts,False,false_positive,10.439,peanuts,False,false_positive,3.358,peanuts,False,false_positive,7.658,peanuts,False,false_positive,5.674,peanuts,False,false_positive,9.775,none,True,,5.566,peanuts,False,false_positive,2.493,peanuts,False,false_positive,12.039,peanuts,False,false_positive,7.570,peanuts,False,false_positive,6.284,peanuts,False,false_positive,8.869,peanuts,False,false_positive,7.799,peanuts,False,false_positive,5.886,peanuts,False,false_positive,9.238,peanuts,False,false_positive,4.623,peanuts,False,false_positive,9.164
NHANES_Gemma3_27b,"wild rice, cooked",wild blend rice,True,gemma3-27b,1317,none,False,missed_match,3.936,none,False,missed_match,10.296,none,False,missed_match,4.185,none,False,missed_match,4.155,enriched long white rice (mahatma),False,wrong_match,9.169,none,False,missed_match,5.546,none,False,missed_match,3.394,enriched long white rice (mahatma),False,wrong_match,9.955,none,False,missed_match,1.611,none,False,missed_match,5.441,wild blend rice,True,,7.062,enriched long white rice (mahatma),False,wrong_match,11.690,enriched long white rice (mahatma),False,wrong_match,7.779,enriched long white rice (mahatma),False,wrong_match,5.560,enriched long white rice (mahatma),False,wrong_match,5.999,enriched long white rice (mahatma),False,wrong_match,7.876,enriched long white rice (mahatma),False,wrong_match,6.687,enriched long white rice (mahatma),False,wrong_match,7.610,enriched long white rice (mahatma),False,wrong_match,7.822,enriched long white rice (mahatma),False,wrong_match,4.773
