experiment,strategy,strategy_id,format,overall_acc,match_acc,no_match_acc,avg_time,throughput,missed_matches,wrong_matches,false_positives
NHANES_Gemma3_27b,text_minimal,S11,text,0.653,0.489,0.837,5.706,16.21,342,14,101
NHANES_Gemma3_27b,number_strict,S05,number,0.644,0.480,0.828,7.879,11.36,274,88,107
NHANES_Gemma3_27b,text_smart_categ,S18,text,0.641,0.595,0.692,6.215,14.36,193,89,191
NHANES_Gemma3_27b,text_semantic,S15,text,0.629,0.668,0.586,5.723,16.15,135,96,257
NHANES_Gemma3_27b,text_validation,S20,text,0.622,0.659,0.580,5.622,15.94,128,109,261
NHANES_Gemma3_27b,text_simple,S12,text,0.603,0.573,0.636,5.767,15.70,226,71,226
NHANES_Gemma3_27b,text_ruler_fewshot,S14,text,0.592,0.361,0.852,5.733,16.27,423,22,92
NHANES_Gemma3_27b,text_point_game,S19,text,0.587,0.625,0.544,6.119,15.05,153,108,283
NHANES_Gemma3_27b,text_strict,S16,text,0.585,0.277,0.931,5.580,16.43,483,20,43
NHANES_Gemma3_27b,text_detailed,S13,text,0.568,0.484,0.662,5.722,15.93,288,71,210
NHANES_Gemma3_27b,text_contextual,S17,text,0.517,0.749,0.258,5.814,15.62,46,129,461
NHANES_Gemma3_27b,number_point_game,S09,number,0.501,0.691,0.288,8.238,11.16,41,174,442
NHANES_Gemma3_27b,number_validation,S10,number,0.470,0.682,0.232,7.991,11.33,7,214,477
NHANES_Gemma3_27b,number_minimal,S01,number,0.409,0.629,0.161,8.216,11.08,40,218,521
NHANES_Gemma3_27b,number_contextual,S07,number,0.373,0.680,0.029,7.936,11.27,0,223,603
NHANES_Gemma3_27b,number_ruler_fewshot,S04,number,0.340,0.641,0.003,8.119,11.11,0,250,619
NHANES_Gemma3_27b,number_smart_categ,S08,number,0.335,0.526,0.121,8.255,11.09,12,318,546
NHANES_Gemma3_27b,number_semantic,S06,number,0.312,0.552,0.043,7.857,11.28,13,299,594
NHANES_Gemma3_27b,number_detailed,S03,number,0.307,0.578,0.003,7.849,11.49,0,294,619
NHANES_Gemma3_27b,number_simple,S02,number,0.278,0.510,0.018,7.844,11.51,0,341,610
