experiment,dataset,model_family,model_size,strategy_id,strategy_name,response_format,overall_accuracy,match_accuracy,no_match_accuracy,avg_response_time,throughput,missed_matches,wrong_matches,false_positives,sample_size
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S05,number_strict,number,0.579,0.257,0.939,3.554,25.57,420,97,38,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S11,text_minimal,text,0.579,0.299,0.892,2.782,33.70,439,49,67,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S18,text_smart_categ,text,0.578,0.343,0.841,2.740,34.48,360,97,99,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S15,text_semantic,text,0.573,0.546,0.602,2.739,33.51,212,104,247,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S20,text_validation,text,0.569,0.520,0.625,2.641,35.26,193,141,233,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S12,text_simple,text,0.553,0.228,0.916,2.783,33.96,497,40,52,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S19,text_point_game,text,0.544,0.272,0.850,2.807,33.40,455,52,93,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S13,text_detailed,text,0.543,0.237,0.886,2.724,34.01,490,41,71,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S14,text_ruler_fewshot,text,0.532,0.157,0.952,2.617,35.69,571,16,30,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S16,text_strict,text,0.525,0.168,0.926,2.576,36.27,566,13,46,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S17,text_contextual,text,0.509,0.542,0.472,2.754,34.05,160,159,328,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S08,number_smart_categ,number,0.453,0.316,0.607,3.770,24.00,222,254,244,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S09,number_point_game,number,0.445,0.211,0.707,3.715,23.73,417,132,182,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S10,number_validation,number,0.317,0.409,0.214,3.686,24.14,45,366,488,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S01,number_minimal,number,0.311,0.355,0.261,3.754,23.31,40,409,459,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S07,number_contextual,number,0.260,0.484,0.008,3.631,25.85,0,359,616,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S02,number_simple,number,0.239,0.405,0.053,3.668,24.74,8,406,588,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S06,number_semantic,number,0.228,0.369,0.069,3.524,26.44,26,413,578,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S03,number_detailed,number,0.211,0.335,0.072,3.635,25.01,10,453,576,1317
NHANES_Gemma3_12b,NHANES,Gemma3,12b,S04,number_ruler_fewshot,number,0.189,0.241,0.130,3.646,24.66,25,503,540,1317
