experiment,strategy,strategy_id,format,overall_acc,match_acc,no_match_acc,avg_time,throughput,missed_matches,wrong_matches,false_positives
NHANES_Gemma3_12b,number_strict,S05,number,0.579,0.257,0.939,3.554,25.57,420,97,38
NHANES_Gemma3_12b,text_minimal,S11,text,0.579,0.299,0.892,2.782,33.70,439,49,67
NHANES_Gemma3_12b,text_smart_categ,S18,text,0.578,0.343,0.841,2.740,34.48,360,97,99
NHANES_Gemma3_12b,text_semantic,S15,text,0.573,0.546,0.602,2.739,33.51,212,104,247
NHANES_Gemma3_12b,text_validation,S20,text,0.569,0.520,0.625,2.641,35.26,193,141,233
NHANES_Gemma3_12b,text_simple,S12,text,0.553,0.228,0.916,2.783,33.96,497,40,52
NHANES_Gemma3_12b,text_point_game,S19,text,0.544,0.272,0.850,2.807,33.40,455,52,93
NHANES_Gemma3_12b,text_detailed,S13,text,0.543,0.237,0.886,2.724,34.01,490,41,71
NHANES_Gemma3_12b,text_ruler_fewshot,S14,text,0.532,0.157,0.952,2.617,35.69,571,16,30
NHANES_Gemma3_12b,text_strict,S16,text,0.525,0.168,0.926,2.576,36.27,566,13,46
NHANES_Gemma3_12b,text_contextual,S17,text,0.509,0.542,0.472,2.754,34.05,160,159,328
NHANES_Gemma3_12b,number_smart_categ,S08,number,0.453,0.316,0.607,3.770,24.00,222,254,244
NHANES_Gemma3_12b,number_point_game,S09,number,0.445,0.211,0.707,3.715,23.73,417,132,182
NHANES_Gemma3_12b,number_validation,S10,number,0.317,0.409,0.214,3.686,24.14,45,366,488
NHANES_Gemma3_12b,number_minimal,S01,number,0.311,0.355,0.261,3.754,23.31,40,409,459
NHANES_Gemma3_12b,number_contextual,S07,number,0.260,0.484,0.008,3.631,25.85,0,359,616
NHANES_Gemma3_12b,number_simple,S02,number,0.239,0.405,0.053,3.668,24.74,8,406,588
NHANES_Gemma3_12b,number_semantic,S06,number,0.228,0.369,0.069,3.524,26.44,26,413,578
NHANES_Gemma3_12b,number_detailed,S03,number,0.211,0.335,0.072,3.635,25.01,10,453,576
NHANES_Gemma3_12b,number_ruler_fewshot,S04,number,0.189,0.241,0.130,3.646,24.66,25,503,540
