experiment,source_item,expected_match,has_match,model,sample_size,S05_predicted,S05_correct,S05_error_type,S05_response_time,S11_predicted,S11_correct,S11_error_type,S11_response_time,S18_predicted,S18_correct,S18_error_type,S18_response_time,S15_predicted,S15_correct,S15_error_type,S15_response_time,S20_predicted,S20_correct,S20_error_type,S20_response_time,S12_predicted,S12_correct,S12_error_type,S12_response_time,S19_predicted,S19_correct,S19_error_type,S19_response_time,S13_predicted,S13_correct,S13_error_type,S13_response_time,S14_predicted,S14_correct,S14_error_type,S14_response_time,S16_predicted,S16_correct,S16_error_type,S16_response_time,S17_predicted,S17_correct,S17_error_type,S17_response_time,S08_predicted,S08_correct,S08_error_type,S08_response_time,S09_predicted,S09_correct,S09_error_type,S09_response_time,S10_predicted,S10_correct,S10_error_type,S10_response_time,S01_predicted,S01_correct,S01_error_type,S01_response_time,S07_predicted,S07_correct,S07_error_type,S07_response_time,S02_predicted,S02_correct,S02_error_type,S02_response_time,S06_predicted,S06_correct,S06_error_type,S06_response_time,S03_predicted,S03_correct,S03_error_type,S03_response_time,S04_predicted,S04_correct,S04_error_type,S04_response_time
NHANES_Gemma3_12b,"chickpeas (garbanzo beans, bengal gram), mature seeds, raw",canned garbanzo beans,True,gemma3-12b,1317,canned garbanzo beans,True,,5.661,none,False,missed_match,4.908,canned garbanzo beans,True,,0.556,canned garbanzo beans,True,,5.486,canned garbanzo beans,True,,4.077,none,False,missed_match,1.029,none,False,missed_match,4.272,canned garbanzo beans,True,,2.151,none,False,missed_match,11.385,none,False,missed_match,5.053,canned garbanzo beans,True,,7.911,canned garbanzo beans,True,,1.510,none,False,missed_match,1.897,canned garbanzo beans,True,,7.078,canned garbanzo beans,True,,3.117,canned garbanzo beans,True,,5.547,canned garbanzo beans,True,,1.511,canned garbanzo beans,True,,3.321,canned garbanzo beans,True,,6.061,canned garbanzo beans,True,,1.583
NHANES_Gemma3_12b,"papaya nectar, canned",none,False,gemma3-12b,1317,pistachio (fiddyment farm),False,false_positive,6.689,none,True,,6.535,tai nung papaya,False,false_positive,2.859,tai nung papaya,False,false_positive,3.365,tai nung papaya,False,false_positive,3.339,tai nung papaya,False,false_positive,2.855,none,True,,6.821,canned black beans (s&w),False,false_positive,3.240,none,True,,3.347,none,True,,2.744,tai nung papaya,False,false_positive,3.281,tai nung papaya,False,false_positive,5.912,pistachio (fiddyment farm),False,false_positive,2.596,tai nung papaya,False,false_positive,2.450,tai nung papaya,False,false_positive,0.842,tai nung papaya,False,false_positive,5.807,tai nung papaya,False,false_positive,1.434,tai nung papaya,False,false_positive,3.468,canned black beans (s&w),False,false_positive,0.458,whole strawberry,False,false_positive,0.926
NHANES_Gemma3_12b,"duck, domesticated, meat only, raw",none,False,gemma3-12b,1317,none,True,,4.544,none,True,,3.149,none,True,,1.609,none,True,,0.848,none,True,,0.257,none,True,,2.255,none,True,,1.956,none,True,,3.047,none,True,,1.696,none,True,,1.766,none,True,,3.266,none,True,,0.786,none,True,,2.514,none,True,,4.225,none,True,,9.268,plant based bacon strip,False,false_positive,3.554,none,True,,1.899,none,True,,2.367,albacore white tuna,False,false_positive,1.014,none,True,,0.780
NHANES_Gemma3_12b,"pork, fresh, loin, whole, separable lean only, cooked, roasted",ground pork,True,gemma3-12b,1317,none,False,missed_match,0.915,none,False,missed_match,4.583,none,False,missed_match,1.211,ground pork,True,,2.741,none,False,missed_match,1.545,none,False,missed_match,0.856,ground pork,True,,2.150,none,False,missed_match,0.856,none,False,missed_match,1.660,none,False,missed_match,2.157,none,False,missed_match,3.256,none,False,missed_match,1.040,none,False,missed_match,3.669,plant based bacon strip,False,wrong_match,2.380,honeydew melon,False,wrong_match,10.004,honeydew melon,False,wrong_match,4.894,plant based bacon strip,False,wrong_match,2.611,honeydew melon,False,wrong_match,2.470,honeydew melon,False,wrong_match,1.549,bean sprouts,False,wrong_match,4.353
NHANES_Gemma3_12b,"cheese, brie",none,False,gemma3-12b,1317,none,True,,6.480,none,True,,1.410,none,True,,1.578,cream cheese,False,false_positive,2.688,none,True,,3.176,none,True,,2.079,none,True,,1.354,none,True,,1.604,none,True,,1.131,none,True,,1.323,cheese crackers,False,false_positive,1.923,cream cheese,False,false_positive,3.198,none,True,,1.314,unsalted butter,False,false_positive,3.416,sour cream,False,false_positive,2.268,cream cheese,False,false_positive,6.208,cream cheese,False,false_positive,1.284,hunt's tomato paste,False,false_positive,3.643,almond butter (justin's),False,false_positive,10.178,yellow banana flesh only,False,false_positive,2.805
NHANES_Gemma3_12b,"game meat, beaver, cooked, roasted",none,False,gemma3-12b,1317,none,True,,4.415,none,True,,3.299,none,True,,2.559,none,True,,1.040,none,True,,1.854,none,True,,0.586,none,True,,2.468,none,True,,3.763,none,True,,1.745,none,True,,2.700,none,True,,3.385,none,True,,2.318,none,True,,2.071,plant based bacon strip,False,false_positive,6.726,none,True,,0.877,plant based bacon strip,False,false_positive,4.267,honeydew melon,False,false_positive,6.458,honeydew melon,False,false_positive,4.274,steamed iceberg lettuce,False,false_positive,1.178,sourdough bread,False,false_positive,8.160
NHANES_Gemma3_12b,"veal, sirloin, separable lean and fat, cooked, roasted",none,False,gemma3-12b,1317,none,True,,5.113,none,True,,3.987,none,True,,3.685,none,True,,0.412,none,True,,3.474,none,True,,8.166,none,True,,1.613,none,True,,0.482,none,True,,2.180,none,True,,0.517,none,True,,3.341,none,True,,5.325,none,True,,5.691,beef round tip steak,False,false_positive,2.613,none,True,,3.177,steamed iceberg lettuce,False,false_positive,5.075,honeydew melon,False,false_positive,2.297,honeydew melon,False,false_positive,4.287,steamed iceberg lettuce,False,false_positive,1.143,yellow banana flesh only,False,false_positive,3.146
NHANES_Gemma3_12b,"sausage, breakfast sausage, beef, pre-cooked, unprepared",beef round tip steak,True,gemma3-12b,1317,none,False,missed_match,2.876,none,False,missed_match,11.266,none,False,missed_match,3.241,none,False,missed_match,0.979,none,False,missed_match,0.758,none,False,missed_match,3.422,none,False,missed_match,1.612,none,False,missed_match,3.967,none,False,missed_match,2.028,none,False,missed_match,1.208,beyond sausage,False,wrong_match,3.674,whole shingo pear w/o seed,False,wrong_match,5.044,none,False,missed_match,2.940,whole shingo pear w/o seed,False,wrong_match,3.521,whole shingo pear w/o seed,False,wrong_match,4.581,whole shingo pear w/o seed,False,wrong_match,1.443,whole shingo pear w/o seed,False,wrong_match,7.373,whole shingo pear w/o seed,False,wrong_match,3.338,whole shingo pear w/o seed,False,wrong_match,5.474,all purpose flour,False,wrong_match,2.823
NHANES_Gemma3_12b,"cheese, gruyere",none,False,gemma3-12b,1317,none,True,,0.883,none,True,,1.719,none,True,,3.017,cheese crackers,False,false_positive,2.588,none,True,,2.162,none,True,,1.509,none,True,,3.679,none,True,,1.374,none,True,,1.481,none,True,,2.030,cheese crackers,False,false_positive,1.028,none,True,,2.542,none,True,,0.717,cream cheese,False,false_positive,3.322,none,True,,3.961,dried corn grits/polenta,False,false_positive,5.695,arugula,False,false_positive,6.846,hunt's tomato paste,False,false_positive,2.415,almond butter (justin's),False,false_positive,0.969,yellow banana flesh only,False,false_positive,8.002
NHANES_Gemma3_12b,"beverages, pepsico quaker, gatorade, g performance o 2, ready-to-drink.",gatorade,True,gemma3-12b,1317,none,False,missed_match,4.479,none,False,missed_match,2.530,gatorade,True,,0.289,gatorade,True,,2.302,gatorade,True,,1.713,none,False,missed_match,1.689,none,False,missed_match,4.087,none,False,missed_match,11.608,gatorade,True,,0.897,gatorade,True,,1.184,gatorade,True,,4.917,gatorade,True,,0.614,animal shaped crackers,False,wrong_match,2.747,gatorade,True,,3.551,budweiser,False,wrong_match,4.294,gatorade,True,,4.326,gatorade,True,,1.156,ground turkey,False,wrong_match,3.642,gatorade,True,,0.755,animal shaped crackers,False,wrong_match,2.280
