experiment,dataset,model_family,model_size,strategy_id,strategy_name,response_format,overall_accuracy,match_accuracy,no_match_accuracy,avg_response_time,throughput,missed_matches,wrong_matches,false_positives,sample_size
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S15,text_semantic,text,0.554,0.251,0.894,1.095,84.82,467,54,66,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S13,text_detailed,text,0.554,0.203,0.947,1.058,87.64,526,29,33,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S20,text_validation,text,0.544,0.253,0.871,0.916,101.41,448,72,80,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S03,number_detailed,number,0.541,0.172,0.955,1.339,70.03,519,57,28,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S11,text_minimal,text,0.511,0.093,0.979,1.233,75.34,625,6,13,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S18,text_smart_categ,text,0.509,0.216,0.839,1.102,84.69,444,102,100,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S01,number_minimal,number,0.507,0.168,0.887,1.362,69.30,533,46,70,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S12,text_simple,text,0.504,0.068,0.994,1.264,74.22,647,2,4,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S16,text_strict,text,0.503,0.315,0.713,1.040,89.96,355,122,178,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S06,number_semantic,number,0.491,0.131,0.895,1.307,72.70,524,81,65,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S08,number_smart_categ,number,0.491,0.040,0.997,1.234,71.06,657,11,2,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S14,text_ruler_fewshot,text,0.475,0.006,1.000,1.343,69.84,692,0,0,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S09,number_point_game,number,0.472,0.000,1.000,1.266,70.90,696,0,0,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S19,text_point_game,text,0.460,0.016,0.958,0.888,104.36,653,32,26,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S17,text_contextual,text,0.409,0.523,0.280,0.964,97.59,95,237,447,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S02,number_simple,number,0.346,0.269,0.433,1.214,75.08,290,219,352,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S05,number_strict,number,0.309,0.408,0.198,1.230,74.38,41,371,498,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S10,number_validation,number,0.276,0.274,0.279,1.243,73.91,91,414,448,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S07,number_contextual,number,0.197,0.374,0.000,1.262,70.70,0,436,621,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S04,number_ruler_fewshot,number,0.053,0.023,0.087,1.298,71.38,80,600,567,1317
