experiment,source_item,expected_match,has_match,model,sample_size,S15_predicted,S15_correct,S15_error_type,S15_response_time,S13_predicted,S13_correct,S13_error_type,S13_response_time,S20_predicted,S20_correct,S20_error_type,S20_response_time,S03_predicted,S03_correct,S03_error_type,S03_response_time,S11_predicted,S11_correct,S11_error_type,S11_response_time,S18_predicted,S18_correct,S18_error_type,S18_response_time,S01_predicted,S01_correct,S01_error_type,S01_response_time,S12_predicted,S12_correct,S12_error_type,S12_response_time,S16_predicted,S16_correct,S16_error_type,S16_response_time,S06_predicted,S06_correct,S06_error_type,S06_response_time,S08_predicted,S08_correct,S08_error_type,S08_response_time,S14_predicted,S14_correct,S14_error_type,S14_response_time,S09_predicted,S09_correct,S09_error_type,S09_response_time,S19_predicted,S19_correct,S19_error_type,S19_response_time,S17_predicted,S17_correct,S17_error_type,S17_response_time,S02_predicted,S02_correct,S02_error_type,S02_response_time,S05_predicted,S05_correct,S05_error_type,S05_response_time,S10_predicted,S10_correct,S10_error_type,S10_response_time,S07_predicted,S07_correct,S07_error_type,S07_response_time,S04_predicted,S04_correct,S04_error_type,S04_response_time
NHANES_Gemma3_4b,"guavas, common, raw",none,False,gemma3-4b,1317,none,True,,0.871,none,True,,0.183,none,True,,0.480,none,True,,1.084,none,True,,2.164,none,True,,0.418,none,True,,0.843,none,True,,1.256,none,True,,1.813,none,True,,3.102,none,True,,1.144,none,True,,1.657,none,True,,1.341,none,True,,0.612,none,True,,0.723,none,True,,0.469,none,True,,2.624,original apple sauce (tree top),False,false_positive,0.728,whole snow peas,False,false_positive,1.235,plantain banana (steamed 10 in),False,false_positive,0.385
NHANES_Gemma3_4b,"pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, cooked",ground pork,True,gemma3-4b,1317,none,False,missed_match,0.737,none,False,missed_match,2.120,none,False,missed_match,0.786,ground pork,True,,0.652,none,False,missed_match,1.294,plant based bacon strip,False,wrong_match,0.478,ground pork,True,,0.198,none,False,missed_match,0.929,ground pork,True,,0.687,none,False,missed_match,0.890,none,False,missed_match,1.618,none,False,missed_match,2.220,none,False,missed_match,0.234,none,False,missed_match,1.113,ground pork,True,,0.570,none,False,missed_match,0.301,ground pork,True,,1.441,original apple sauce (tree top),False,wrong_match,0.725,green split peas,False,wrong_match,0.499,whole strawberry,False,wrong_match,2.096
NHANES_Gemma3_4b,"turnip greens, canned, no salt added",none,False,gemma3-4b,1317,none,True,,0.356,none,True,,0.291,none,True,,0.536,none,True,,1.384,none,True,,1.372,none,True,,1.247,none,True,,0.986,none,True,,0.350,canned low sodium pinto bean,False,false_positive,2.172,none,True,,1.109,none,True,,1.414,none,True,,1.267,none,True,,1.257,none,True,,0.630,steamed curely mustard greens,False,false_positive,1.634,canned black beans (s&w),False,false_positive,1.361,canned black beans (s&w),False,false_positive,1.059,original apple sauce (tree top),False,false_positive,1.349,canned black beans (s&w),False,false_positive,1.498,brown egg yolk,False,false_positive,0.273
NHANES_Gemma3_4b,"beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, pan-fried",beef round tip steak,True,gemma3-4b,1317,none,False,missed_match,3.442,none,False,missed_match,0.754,none,False,missed_match,0.387,none,False,missed_match,1.117,none,False,missed_match,2.699,none,False,missed_match,1.885,none,False,missed_match,1.539,none,False,missed_match,1.598,none,False,missed_match,3.579,none,False,missed_match,1.555,none,False,missed_match,1.382,none,False,missed_match,1.060,none,False,missed_match,1.532,whole original english muffin (thomas),False,wrong_match,2.900,beef round tip steak,True,,0.657,none,False,missed_match,0.817,original apple sauce (tree top),False,wrong_match,1.054,original apple sauce (tree top),False,wrong_match,1.349,beef round tip steak,True,,2.027,brazil nuts,False,wrong_match,2.047
NHANES_Gemma3_4b,"peaches, dried, sulfured, uncooked",none,False,gemma3-4b,1317,none,True,,0.548,none,True,,2.256,none,True,,0.732,none,True,,0.605,none,True,,0.428,none,True,,0.444,none,True,,1.558,none,True,,0.725,none,True,,2.225,none,True,,0.794,none,True,,1.235,none,True,,2.810,none,True,,1.416,none,True,,0.685,dried coconut strips,False,false_positive,1.130,freeze dried apple rings,False,false_positive,1.110,none,True,,2.459,original apple sauce (tree top),False,false_positive,1.263,banana chips,False,false_positive,1.046,whole strawberry,False,false_positive,2.205
NHANES_Gemma3_4b,"milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)",none,False,gemma3-4b,1317,coconut milk,False,false_positive,0.210,none,True,,2.619,none,True,,0.928,none,True,,0.244,none,True,,1.457,coconut milk,False,false_positive,0.317,none,True,,0.212,none,True,,1.082,whole milk,False,false_positive,0.894,none,True,,3.154,none,True,,0.695,none,True,,1.055,none,True,,1.121,none,True,,0.763,coconut milk,False,false_positive,1.064,pulp free orange juice,False,false_positive,0.728,original apple sauce (tree top),False,false_positive,1.334,none,True,,1.080,sour cream,False,false_positive,2.183,plantain banana (steamed 10 in),False,false_positive,0.650
NHANES_Gemma3_4b,"pork, fresh, loin, tenderloin, separable lean and fat, raw",ground pork,True,gemma3-4b,1317,none,False,missed_match,1.594,none,False,missed_match,0.566,none,False,missed_match,0.804,none,False,missed_match,1.256,none,False,missed_match,1.262,ground pork,True,,0.563,none,False,missed_match,0.995,none,False,missed_match,2.146,none,False,missed_match,1.385,none,False,missed_match,1.834,none,False,missed_match,0.709,none,False,missed_match,1.473,none,False,missed_match,0.582,none,False,missed_match,0.524,ground pork,True,,0.657,none,False,missed_match,0.718,ground pork,True,,1.617,original apple sauce (tree top),False,wrong_match,0.418,ground pork,True,,1.619,whole strawberry,False,wrong_match,0.875
NHANES_Gemma3_4b,"beef, cured, corned beef, canned",beef round tip steak,True,gemma3-4b,1317,none,False,missed_match,0.956,none,False,missed_match,0.477,none,False,missed_match,0.177,none,False,missed_match,2.640,none,False,missed_match,1.534,none,False,missed_match,3.070,none,False,missed_match,1.217,none,False,missed_match,2.129,canned black beans (s&w),False,wrong_match,2.201,canned black beans (s&w),False,wrong_match,1.781,none,False,missed_match,1.061,none,False,missed_match,2.839,none,False,missed_match,2.755,none,False,missed_match,0.850,canned kidney beans,False,wrong_match,0.927,canned black beans (s&w),False,wrong_match,0.827,canned black beans (s&w),False,wrong_match,1.212,canned black beans (s&w),False,wrong_match,0.435,canned black beans (s&w),False,wrong_match,0.838,tortilla chips,False,wrong_match,1.918
NHANES_Gemma3_4b,"beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",beef round tip steak,True,gemma3-4b,1317,ground pork,False,wrong_match,0.371,none,False,missed_match,0.609,none,False,missed_match,0.550,none,False,missed_match,2.643,none,False,missed_match,0.948,none,False,missed_match,1.400,none,False,missed_match,1.130,none,False,missed_match,1.738,none,False,missed_match,0.471,none,False,missed_match,2.914,none,False,missed_match,1.284,none,False,missed_match,1.668,none,False,missed_match,0.579,none,False,missed_match,0.820,ground turkey,False,wrong_match,0.548,none,False,missed_match,1.396,original apple sauce (tree top),False,wrong_match,0.917,original apple sauce (tree top),False,wrong_match,0.999,ground non-meat (beyond meat),False,wrong_match,1.009,brazil nuts,False,wrong_match,0.835
NHANES_Gemma3_4b,"cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",steamed baby bok choy leaves and stalk,True,gemma3-4b,1317,purple cabbage,False,wrong_match,0.271,none,False,missed_match,0.710,none,False,missed_match,0.179,none,False,missed_match,2.894,none,False,missed_match,1.131,none,False,missed_match,0.645,none,False,missed_match,0.697,none,False,missed_match,1.279,none,False,missed_match,0.262,none,False,missed_match,1.481,none,False,missed_match,1.589,none,False,missed_match,2.326,none,False,missed_match,0.469,none,False,missed_match,1.048,none,False,missed_match,0.626,none,False,missed_match,0.961,steamed whole snow peas,False,wrong_match,0.933,original apple sauce (tree top),False,wrong_match,1.237,steamed whole snow peas,False,wrong_match,0.723,brazil nuts,False,wrong_match,0.317
NHANES_Gemma3_4b,"fish, roe, mixed species, raw",none,False,gemma3-4b,1317,none,True,,0.520,none,True,,0.434,none,True,,0.652,none,True,,0.607,none,True,,2.111,none,True,,2.690,none,True,,0.685,none,True,,0.610,none,True,,2.036,none,True,,0.717,none,True,,0.418,none,True,,1.649,none,True,,1.105,none,True,,0.991,plant based fish fillet,False,false_positive,0.481,albacore white tuna,False,false_positive,1.306,albacore white tuna,False,false_positive,1.742,albacore white tuna,False,false_positive,0.451,albacore white tuna,False,false_positive,1.120,brown egg yolk,False,false_positive,0.969
NHANES_Gemma3_4b,"noodles, egg, enriched, cooked",none,False,gemma3-4b,1317,none,True,,1.347,none,True,,0.440,whole wheat spaghetti,False,false_positive,0.915,none,True,,2.764,none,True,,1.068,whole wheat spaghetti,False,false_positive,0.804,none,True,,1.154,none,True,,2.876,whole wheat spaghetti,False,false_positive,0.830,enriched long white rice (mahatma),False,false_positive,0.650,none,True,,1.122,none,True,,1.596,none,True,,1.277,none,True,,0.583,stir fry rice noodle,False,false_positive,1.247,enriched long white rice (mahatma),False,false_positive,1.851,enriched long white rice (mahatma),False,false_positive,1.429,enriched long white rice (mahatma),False,false_positive,1.810,whole wheat spaghetti,False,false_positive,0.933,brown egg yolk,False,false_positive,0.986
NHANES_Gemma3_4b,"oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",none,False,gemma3-4b,1317,none,True,,1.419,none,True,,0.436,none,True,,0.847,none,True,,2.868,none,True,,1.921,none,True,,0.278,none,True,,2.289,none,True,,1.318,none,True,,2.326,none,True,,1.025,none,True,,1.399,none,True,,1.025,none,True,,2.589,none,True,,0.573,original apple sauce (tree top),False,false_positive,1.806,none,True,,1.538,pumpkin seeds,False,false_positive,1.637,original apple sauce (tree top),False,false_positive,1.075,original apple sauce (tree top),False,false_positive,1.589,whole strawberry,False,false_positive,1.145
NHANES_Gemma3_4b,"beverages, unilever, slimfast shake mix, high protein, whey powder, 3-2-1 plan,",none,False,gemma3-4b,1317,none,True,,1.727,none,True,,1.171,none,True,,0.845,none,True,,1.303,none,True,,1.186,protein powder,False,false_positive,0.468,none,True,,0.658,none,True,,2.086,none,True,,2.016,none,True,,1.210,none,True,,1.640,none,True,,1.229,none,True,,0.665,none,True,,1.020,protein powder,False,false_positive,0.860,pulp free orange juice,False,false_positive,1.441,none,True,,1.025,original apple sauce (tree top),False,false_positive,1.256,yellow banana flesh only,False,false_positive,0.931,pumpkin seeds,False,false_positive,1.003
